Sexe,PaysNat.,Doublement,DateEntrée,DateSortie,AdhesionTransport,CodeRegime,LibRegime,CleGestionMatEnseignee1,LibMatEnseignee1,CleGestionMatEnseignee2,LibMatEnseignee2,CodeModaliteElect2,LibModaliteElect2,CleGestionMatEnseignee3,LibMatEnseignee3,CodeModaliteElect3,LibModaliteElect3,CleGestionMatEnseignee4,LibMatEnseignee4,CodeModaliteElect4,LibModaliteElect4,CleGestionMatEnseigne5,LibMatEnseignee5,CodeModaliteElect5,LibModaliteElect5,CleGestionMatEnseigne6,LibMatEnseignee6,CodeModaliteElect6,LibModaliteElect6
M,FRANCE,N,05/09/2011,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,04/09/2012,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2013,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
F,FRANCE,N,03/09/2013,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,16/10/2017,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,,O,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2013,31/08/2018,O,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,SENEGAL,O,03/09/2013,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,O,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,09/03/2013,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2013,22/09/2017,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,04/09/2017,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
